Action name, Thread name, Action timestamp
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
A location was selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
A location was selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
A location was selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
A location was selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
A location was selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
A location was selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
A location was selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
A location was selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
A location was selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
A location was selected from database., http-nio-8080-exec-7, 01.06.2020 01.42.20
The number of available seats to an event was selected from database., Thread-4, 01.06.2020 01.42.22
A ticket was added to database., Thread-4, 01.06.2020 01.42.22
The number of available seats to an event was decreased., Thread-4, 01.06.2020 01.42.22
A client was selected from database., http-nio-8080-exec-5, 01.06.2020 01.44.56
A client was logged., http-nio-8080-exec-5, 01.06.2020 01.44.56
All event details were selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
A location was selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
A location was selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
A location was selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
A location was selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
A location was selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
A location was selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
A location was selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
A location was selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
A location was selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
A location was selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
A location was selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
A location was selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
An event was selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
A location was selected from database., http-nio-8080-exec-7, 01.06.2020 01.44.57
The number of available seats to an event was selected from database., Thread-4, 01.06.2020 01.44.59
A ticket was added to database., Thread-4, 01.06.2020 01.44.59
The number of available seats to an event was decreased., Thread-4, 01.06.2020 01.44.59
The number of available seats to an event was selected from database., Thread-5, 01.06.2020 01.45.25
The number of available seats to an event was selected from database., Thread-6, 01.06.2020 01.45.31
A ticket was added to database., Thread-6, 01.06.2020 01.45.31
The number of available seats to an event was decreased., Thread-6, 01.06.2020 01.45.31
The tickets of a client were selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
The details for an event were selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
An event was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
An event was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
A client was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
An event was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
A location was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
A client was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
The details for an event were selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
An event was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
An event was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
A client was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
An event was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
A location was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
A client was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
The details for an event were selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
An event was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
An event was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
A client was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
An event was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
A location was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
A client was selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
The details for an event were selected from database., http-nio-8080-exec-3, 01.06.2020 01.45.37
